0                    WARNING main_yb_yb_EG_sim      Starting EG attempt at 0.
130,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 130000000000000000.
130,022,275,806,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
130,022,275,806,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 14 completed in 22.3133163745 seconds.
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 14 took 4102 attempts.
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 140000000000000000.
140,032,687,150,687,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
140,032,687,150,687,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 15 completed in 32.724660987 seconds.
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 15 took 6011 attempts.
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 150000000000000000.
150,005,660,967,249,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
150,005,660,967,249,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 16 completed in 5.6984772495 seconds.
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 16 took 1076 attempts.
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 160000000000000000.
160,682,671,554,249,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
160,682,671,554,249,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 17 completed in 682.7090645495 seconds.
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 17 took 125668 attempts.
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 170000000000000000.
170,525,557,596,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
170,525,557,596,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 18 completed in 525.5951063745 seconds.
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 18 took 96742 attempts.
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 180000000000000000.
180,010,443,544,812,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
180,010,443,544,812,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
190,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 19 completed in 10.481055112 seconds.
190,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 19 took 1917 attempts.
