0                    WARNING main_yb_yb_EG_sim      Starting EG attempt at 0.
4,891,251,687,000    WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
4,891,251,687,000    WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
10,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 1 completed in 4.928761987 seconds.
10,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 1 took 1227 attempts.
10,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 10000000000000000.
10,001,767,280,624,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
10,001,767,280,624,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
20,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 2 completed in 1.8047906245 seconds.
20,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 2 took 490 attempts.
20,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 20000000000000000.
20,009,663,594,812,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
20,009,663,594,812,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
30,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 3 completed in 9.701105112 seconds.
30,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 3 took 2717 attempts.
30,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 30000000000000000.
30,000,902,790,687,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
30,000,902,790,687,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
40,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 4 completed in 0.940300687 seconds.
40,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 4 took 251 attempts.
40,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 40000000000000000.
40,000,029,150,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
40,000,029,150,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
50,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 5 completed in 0.0666606745 seconds.
50,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 5 took 6 attempts.
50,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 50000000000000000.
50,000,876,864,624,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
50,000,876,864,624,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
60,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 6 completed in 0.9143746245 seconds.
60,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 6 took 234 attempts.
60,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 60000000000000000.
60,000,038,300,749,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
60,000,038,300,749,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
70,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 7 completed in 0.0758110495 seconds.
70,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 7 took 12 attempts.
70,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 70000000000000000.
70,006,964,895,687,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
70,006,964,895,687,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
80,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 8 completed in 7.0024056869999995 seconds.
80,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 8 took 1931 attempts.
80,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 80000000000000000.
80,002,631,770,562,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
80,002,631,770,562,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
90,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 9 completed in 2.669280862 seconds.
90,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 9 took 729 attempts.
90,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 90000000000000000.
90,009,643,768,999,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
90,009,643,768,999,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
100,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 10 completed in 9.6812789995 seconds.
100,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 10 took 2704 attempts.
100,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 100000000000000000.
100,006,996,921,999,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
100,006,996,921,999,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
110,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 11 completed in 7.0344322995 seconds.
110,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 11 took 1952 attempts.
110,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 110000000000000000.
110,000,936,342,062,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
110,000,936,342,062,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
120,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 12 completed in 0.973852062 seconds.
120,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 12 took 273 attempts.
120,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 120000000000000000.
120,001,736,779,374,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
120,001,736,779,374,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
130,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 13 completed in 1.7742896744999999 seconds.
130,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 13 took 470 attempts.
130,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 130000000000000000.
130,000,886,014,999,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
130,000,886,014,999,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 14 completed in 0.9235249995 seconds.
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 14 took 240 attempts.
140,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 140000000000000000.
140,000,898,215,499,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
140,000,898,215,499,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 15 completed in 0.9357257995 seconds.
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 15 took 248 attempts.
150,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 150000000000000000.
150,009,625,468,249,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
150,009,625,468,249,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 16 completed in 9.6629782495 seconds.
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 16 took 2692 attempts.
160,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 160000000000000000.
160,007,035,048,562,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
160,007,035,048,562,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 17 completed in 7.072558862 seconds.
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 17 took 1977 attempts.
170,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 170000000000000000.
170,005,240,490,999,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
170,005,240,490,999,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 18 completed in 5.2780009995 seconds.
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 18 took 1456 attempts.
180,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 180000000000000000.
180,000,038,300,749,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
180,000,038,300,749,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
190,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 19 completed in 0.0758110495 seconds.
190,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 19 took 12 attempts.
190,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 190000000000000000.
190,000,875,339,562,000 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
190,000,875,339,562,000 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
200,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 20 completed in 0.912849562 seconds.
200,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 20 took 233 attempts.
200,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 200000000000000000.
200,008,823,505,874,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
200,008,823,505,874,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
210,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 21 completed in 8.8610161745 seconds.
210,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 21 took 2494 attempts.
210,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 210000000000000000.
210,000,032,200,499,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
210,000,032,200,499,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
220,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 22 completed in 0.0697104995 seconds.
220,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 22 took 8 attempts.
220,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Starting EG attempt at 220000000000000000.
220,007,841,586,124,500 WARNING generation             router_1 successful entanglement of memory router_1.MemoryArray[0]
220,007,841,586,124,500 WARNING generation             router_0 successful entanglement of memory router_0.MemoryArray[0]
230,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 23 completed in 7.8790964245 seconds.
230,000,000,000,000,000 WARNING main_yb_yb_EG_sim      Entanglement num 23 took 2178 attempts.
